job_id,company_name,model_response
11,Sony Music Entertainment," {
  ""Core Responsibilities"": ""Design, create and code promotional pages, social skins, email campaigns, banner ads, web interfaces and page layouts. Maintain and update active company and label websites, images, audio files, press releases, graphics. Troubleshoot creative and technical challenges."",
  ""Required Skills"": ""Proficiency in HTML, CSS, JavaScript and basic PHP/MySQL. Experience building and maintaining web-based platforms (WordPress). Knowledge of interaction design fundamentals and web best practices. Experience with Adobe Creative Suite and audio/video editing. API integration experience."",  
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""At least 2 years of experience building and maintaining websites."",
  ""Preferred Qualifications"": ""Experience with motion graphics. Capacity to rapidly design/develop web pages based on shifting calendars. Aptitude to independently troubleshoot novel coding issues. Enthusiasm to work in a challenging, creative music industry environment."",
  ""Compensation and Benefits"": ""Outstanding benefits including 401k match, medical/dental/life/disability insurance.""
}"
12,Snapshot Interactive," {
  ""Core Responsibilities"": ""Creating amazing WordPress websites that reflect client brand and objectives. Executing updates and troubleshooting client websites. Integrating HubSpot features and plugins. Tracking project progress and communicating professionally with team."",
  ""Required Skills"": ""3+ years professional experience. Understanding of object-oriented programming and MVC. Custom scripting and API integration experience. WordPress theming expertise (Sage preferred). Custom REST API development. Expert CSS, PHP, MySQL. Knowledge of responsive and mobile-first design. Ability to debug cross-browser issues. Self-motivated with strong organizational skills."",  
  ""Educational Requirements"": ""Bachelor's degree or equivalent experience."",
  ""Experience Level"": ""3+ years backend development experience required."",
  ""Preferred Qualifications"": ""Experience with Laravel, command line, deploying websites, Git/version control. Knowledge of CSS preprocessors like SASS and LESS."",
  ""Compensation and Benefits"": ""Salary based on experience. Health, life, and disability insurance. Paid time off and holidays. Retirement plan.""
}"
13,Deloitte," {
  ""Core Responsibilities"": ""Lead or contribute to projects; Create designs that align with client brand, creative vision, and business strategy; Collaborate across teams; Provide art direction"",
  ""Required Skills"": ""UI design experience; Proficiency in design tools like Sketch, InVision, Illustrator; Web/mobile design experience; Pixel-perfect design files; Motion design experience"",
  ""Educational Requirements"": ""N/A"",  
  ""Experience Level"": ""Multiple years of related design experience"",
  ""Preferred Qualifications"": ""Design systems experience; Icon/illustration experience; Design community connections; Takes feedback well; Personal design style"",
  ""Compensation and Benefits"": ""N/A""
}"
14,Themesoft Inc," {
  ""Core Responsibilities"": ""design develop and test high quality software features by understanding user needs and implementing well designed code follow and implement the code with standards and best practices"",
  ""Required Skills"": ""php, wordpress, wp plugins, html, css, java script, mysql, linux, git"", 
  ""Educational Requirements"": ""a bachelors degree in computer science, engineering, information technology or equivalent experience"",
  ""Experience Level"": ""2 years professional software development experience"",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""N/A""
}"
15,Western Governors University," {
  ""Core Responsibilities"": ""Take a key role in the design and layout of our consumer facing webpages. Creating wireframes for initial review by the greater marketing team. Create high-fidelity comps for the visual layout and design of web pages."",
  ""Required Skills"": ""Proficient in Adobe Creative Suite. Ability to prototype designs in interactive formats like Figma, Adobe XD, or Sketch. Understanding of responsive web design and mobile-first principles. Visual design skills including color, layout, typography, and composition."",
  ""Educational Requirements"": ""N/A"",  
  ""Experience Level"": ""2 years experience as a UX/UI designer including design, development, implementation, and production deployment."",
  ""Preferred Qualifications"": ""Portfolio of webpage design examples."",
  ""Compensation and Benefits"": ""N/A""
}"
16,Sedgwick," {
  ""Core Responsibilities"": ""Create user-friendly designs that improve the overall user experience. Oversee user experience projects to support global marcomm deliverables, ideas and solutions. Create strategic and compelling user experience design solutions that are visually engaging and on-brand to drive an optimized experience."",
  ""Required Skills"": ""Bachelor's degree in UI/UX or graphic design. 7+ years of UI/UX or graphic design experience. Strong knowledge of Adobe Creative Suite, Sketch, CSS and HTML. Excellent communication, presentation, organizational and interpersonal skills. Ability to work in a fast-paced team environment."",  
  ""Educational Requirements"": ""Bachelor's degree in UI/UX or graphic design preferred."",
  ""Experience Level"": ""7+ years of UI/UX or graphic design experience required."",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""N/A""
}"
17,Ohio ENT & Allergy Physicians," {
  ""Core Responsibilities"": ""Provide leadership and strategic planning for the medical practice. Oversee clinical, financial, and organizational operations. Lead and mentor the executive team. Build partnerships and represent the organization externally."",
  ""Required Skills"": ""Excellent leadership, communication, problem-solving, business acumen, strategic thinking, and people management skills. Ability to work collaboratively and maintain discretion."", 
  ""Educational Requirements"": ""Bachelor's degree required, MHA or MBA preferred."",
  ""Experience Level"": ""10+ years of industry experience"",
  ""Preferred Qualifications"": ""Experience training and leading executive teams. Executive presence and ability to remain calm under stress."",
  ""Compensation and Benefits"": ""N/A""
}"
18,Confidential Jobs," {
  ""Core Responsibilities"": ""N/A"",
  ""Required Skills"": ""N/A"",
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""N/A"",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""N/A""
}"
19,RiverVista Health and Wellness," {
  ""Core Responsibilities"": ""Develop and execute strategic initiatives, provide oversight and management of operations, finances, staff, ensure compliance with regulations, build relationships with community partners."",
  ""Required Skills"": ""Master's degree in healthcare administration, business administration or related field, 5+ years experience as a healthcare manager with 2+ years in a behavioral health setting, budgeting/finance skills, communication and relationship-building skills."",  
  ""Educational Requirements"": ""Master's degree in hospital administration, business administration, mental health or related field."",
  ""Experience Level"": ""5+ years as a healthcare manager, 2+ years in a behavioral health setting."",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""Attractive compensation package including relocation assistance.""
}"
20,Salt Creek Capital," {
  ""Core Responsibilities"": ""Manage full P&L, develop growth strategy, provide operational management as CEO of acquired companies"",
  ""Required Skills"": ""At least 10 years of senior management experience, prior successful P&L management and/or president or GM experience"", 
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""At least 10 years of senior management experience"",
  ""Preferred Qualifications"": ""Prior successful P&L management and/or president or GM experience, entrepreneurial thinker, proven ability to increase profitability through business development"",
  ""Compensation and Benefits"": ""N/A""
}"
21,Ascend Innovations," {
  ""Core Responsibilities"": ""Provide company vision and support long-term product strategy, support the sales team, collaborate with the executive director on mental health content strategy, provide leadership for the team, build and implement a professional management structure, manage key stakeholders, build your team through recruiting, collaborate with other roles as needed, spend time with partners and in the mental health community, collaborate with ascend innovations startup studio."",
  ""Required Skills"": ""Minimum 5 years experience in entrepreneurial product management or operations, demonstrated excellence in these roles, experience as an executive, strong networker with professional network in software startups, demonstrated success developing, building and scaling software companies, strong attention to detail and financial acumen, strong operational management skills, excellent written and verbal communication skills, comfort with pitches and interacting with stakeholders, appetite for risk and ability to assess good vs bad risks, bachelor's degree in business or comparable experience."",  
  ""Educational Requirements"": ""Bachelor's degree in business or comparable experience"",
  ""Experience Level"": ""Minimum 5 years experience in entrepreneurial product management or operations"",
  ""Preferred Qualifications"": ""Experience as an executive, established professional network in software startups, demonstrated success developing, building, and scaling software companies"",
  ""Compensation and Benefits"": ""Equity in early-stage startup, inclusive healthcare package, automatic 6% 401k contribution, health savings account with employer match, unlimited PTO, 6 months fully paid parental leave, hybrid/remote work options""
}"
22,ExecHQ," {
  ""Core Responsibilities"": ""Provide consulting services to clients as needed, including leadership, turnarounds, executive coaching, building effective teams, etc. Assemble teams of consultants or specialists to bring the best solutions to clients."",
  ""Required Skills"": ""Bachelor's degree in business, accounting or related field. 5+ years experience as a CEO, business owner or equivalent."",
  ""Educational Requirements"": ""Bachelor's degree in business, accounting or related field required. MBA or other relevant Master's degree preferred."",
  ""Experience Level"": ""5+ years experience as a CEO, business owner or equivalent position."",
  ""Preferred Qualifications"": ""MBA or other relevant Master's degree."",
  ""Compensation and Benefits"": ""Access to Cigna health insurance plan (medical, vision, dental). Various discounts and corporate perks. Consultants retain 100% of revenues billed to clients.""  
}"
23,Confidential," {
  ""Core Responsibilities"": ""Responsible for day-to-day operations of the hospital including oversight, attracting and retaining physicians, collaborating with medical staff, ensuring compliance, representing the hospital, etc."",
  ""Required Skills"": ""Strong communication, presentation and listening skills. Ability to build strategic alliances. Knowledge of healthcare laws and regulations."", 
  ""Educational Requirements"": ""Master's degree in business, health administration or related field."",
  ""Experience Level"": ""At least 5 years of experience in a hospital leadership role."",
  ""Preferred Qualifications"": ""Proactive approach to healthcare reform issues. Ability to identify budget deviations and take corrective action."",
  ""Compensation and Benefits"": ""N/A""
}"
24,On Time Talent Solutions," {
  ""Core Responsibilities"": ""Provides strategic oversight and leadership for the hospital system. Establishes business strategy, promotes vision/mission, builds senior management team, meets strategic goals set by board. Collaborates with various stakeholders to design services and improve patient outcomes."",
  ""Required Skills"": ""Bachelor's degree in healthcare (master's preferred). 5+ years management experience in healthcare/hospital setting. Knowledge of healthcare regulations and standards. Organizational, analytical, and conflict management skills."",  
  ""Educational Requirements"": ""Bachelor's degree in healthcare related field (master's degree highly preferred)"",
  ""Experience Level"": ""5+ years senior management/executive experience in healthcare/hospital setting"",
  ""Preferred Qualifications"": ""Master's degree. Experience managing long-term acute care or specialty hospitals."",
  ""Compensation and Benefits"": ""N/A""
}"
25,Vistage Worldwide," {
  ""Core Responsibilities"": ""Lead monthly roundtable discussions and one-on-one coaching sessions with group members. Guide members in making impactful business decisions and connecting them with relevant resources and experts."",
  ""Required Skills"": ""Strong financial acumen, management skills, and entrepreneurial spirit. Proven experience as a successful business leader and mentor."",
  ""Educational Requirements"": ""N/A"", 
  ""Experience Level"": ""N/A"",
  ""Preferred Qualifications"": ""Experience as a CEO or executive in a variety of industries. Commitment to continual learning and staying up-to-date on leading-edge tools and knowledge."",
  ""Compensation and Benefits"": ""N/A""
}"
26,HSBC," {
  ""Core Responsibilities"": ""Engaging with clients and prospects in person, on the phone or by email to develop relationships, perform business development, and assist them with financial needs through products and services offered"",
  ""Required Skills"": ""Experience in a similar client-facing, relationship management role at a bank or financial institution; State insurance license, SI Series 6 securities license, Series 7 securities license"",  
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""N/A"",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""Competitive pay and benefits including options to improve health, finances, and lifestyle.""
}"
27,Owner Actions," {
  ""Core Responsibilities"": ""create a series of email newsletters, manage social media channels, coordinate work and collaborate with outside marketing and ad teams, design landing pages and site marketing content"",
  ""Required Skills"": ""2+ years of direct digital marketing experience, willingness to take on a wide range of responsibilities, 2 years of email campaign management experience, experience with WordPress, Canva, Elementor and email marketing programs"",
  ""Educational Requirements"": ""N/A"", 
  ""Experience Level"": ""2+ years of experience"",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""Hybrid work schedule, Up to three days per week in the office, Primarily work from home, Columbus OH""
}"
28,OhioHealth," {
  ""Core Responsibilities"": ""Develop and execute integrated marketing plans, support marketing activities, manage projects and timelines, develop web content, collaborate with other teams, manage multiple projects and details"",
  ""Required Skills"": ""Bachelor's degree in marketing/PR/communications, project management, detail-oriented, ability to multitask, work under pressure and meet deadlines, communication skills, leadership, presentation skills, innovative, social media experience"", 
  ""Educational Requirements"": ""Bachelor's degree in public relations, communications, marketing or related field"",
  ""Experience Level"": ""5+ years in marketing/communications experience preferably in healthcare"",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""N/A""
}"
29,Express," {
  ""Core Responsibilities"": ""Provide support and execution of integrated media campaigns to drive traffic and sales to express.com. Assist with developing optimal media campaigns for lower funnel display and paid social programs. Help manage creative brief/traffic process, develop reporting, and communicate performance."",
  ""Required Skills"": ""2+ years relevant experience in paid media/digital marketing for a business or agency, retail experience preferred. Proven ability to analyze, organize and integrate large amounts information into clear, concise presentations and plans. Demonstrated success in delivering efficient traffic and revenue with ROI. Experience working with web analytic tools like Adobe Analytics, Facebook Ads Manager, etc. Intermediate Excel skills for reporting."", 
  ""Educational Requirements"": ""College degree required in relevant field of study"",
  ""Experience Level"": ""2+ years"",
  ""Preferred Qualifications"": ""Retail experience preferred"",
  ""Compensation and Benefits"": ""N/A""
}"
30,Dispatch," {
  ""Core Responsibilities"": ""Builds high quality features that meet business objectives with a focus on usability. Collaborates closely with teammates through code reviews. Deploys projects to production frequently and monitors results. Actively solicits feedback from teammates and customers to improve usability."",
  ""Required Skills"": ""Bachelor's degree or equivalent experience. Experience building and supporting web applications in a fullstack capacity, preferably 2+ years. Proficiency with Ruby on Rails, Java, .NET, Python, PHP or Groovy. Javascript/React preferred."", 
  ""Educational Requirements"": ""Bachelor's degree or equivalent experience required"",
  ""Experience Level"": ""2+ years building and supporting web applications in a fullstack capacity"",
  ""Preferred Qualifications"": ""Experience with React Native, iOS, Android, Elasticsearch, Google Maps APIs"",
  ""Compensation and Benefits"": ""N/A""
}"
31,Epic," {
  ""Core Responsibilities"": ""Write software for healthcare systems using modern development methodologies, user-centered design, analytics, and machine learning. Invent better ways to reduce medical errors, streamline record sharing, and improve patient care quality."",
  ""Required Skills"": ""Proficiency in JS, TS, C and other leading-edge technologies and languages. Academic excellence or professional success in computer science, software engineering, or related fields."",
  ""Educational Requirements"": ""BSBA or greater in computer science, mathematics, software engineering, computer engineering, or a related field."", 
  ""Experience Level"": ""N/A"",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""Comprehensive benefits including merit-based compensation with annual raises and bonuses, stock grants, 4-week paid sabbatical after 5 years, and relocation reimbursement.""
}"
32,Revature LLC," {
  ""Core Responsibilities"": ""Training program to become an entry level software engineer. Work on real world projects in a team environment. No prior professional experience required."",
  ""Required Skills"": ""College degree (associates or bachelors). Authorized to work in the US. Desire to learn to code. Problem solving skills. Team player. Adaptable. Communication and interpersonal skills."", 
  ""Educational Requirements"": ""College degree (associates or bachelors)."",
  ""Experience Level"": ""No prior professional experience required."",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""Competitive salary. Relocation & housing assistance. Paid time off. Industry certifications. Mentoring program. Experience with large US companies. Career acceleration opportunities.""
}"
33,Light & Wonder," {
  ""Core Responsibilities"": ""Develop, design, test, code and integrate software-embedded products; Troubleshoot and debug software defects; Review, interpret and execute software-embedded requirements and specifications"",
  ""Required Skills"": ""Embedded software development; Software modeling in real-time response environments; Serial communications protocols; Various operating systems; Software development life cycle"",
  ""Educational Requirements"": ""Bachelor's degree in related field"",
  ""Experience Level"": ""3 to 5 years of related experience"",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""N/A""
}"
34,Hughes Private Capital LLC," {
  ""Core Responsibilities"": ""Participating in R&D initiatives for the department, assisting with solution recommendations, developing highly functional software that is error free and efficient across business-critical systems, assessing the existing SDLC and providing recommendations/changes, collaborating with other engineers on sprint progress and impediments to release timelines, identifying inefficiencies, problem areas or opportunities for technical investment that will improve operational processes or procedures both inside and outside the engineering team, ensuring software is up to date and free of vulnerabilities, troubleshooting or debugging business critical systems to optimize performance, managing and improving CI/CD pipelines"",
  ""Required Skills"": ""Object-oriented programming, 2+ years of software engineering experience, 2+ years of full stack web development experience, HTML, CSS, JavaScript and/or its frameworks, MVC architecture, Design patterns and frameworks (Struts, Spring, Spring Boot and Microservices), Agile/Scrum, Software engineering best practices for the SDLC, code standards, reviews, VCS, testing, etc., Relational databases - schema design, normalization, complex queries, optimization, CI/CD pipelines and processes, System design and architecture, application and database, Building and consuming REST or SOAP web services, Data structures and algorithms, Linux/Windows OS with scripting skills in Bash, PowerShell, Python"",  
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""2+ years of software engineering experience"",
  ""Preferred Qualifications"": ""Experience with AWS products, Salesforce development (Apex and Salesforce CLI), Atlassian product suite (Confluence, Jira, Bitbucket), Docker, Advanced Java proficiency, Experience with any NoSQL database, Bachelor's degree in computer science, information systems or related field"",
  ""Compensation and Benefits"": ""Competitive salary, health benefits, paid vacation time, paid sick time, paid federal holidays, employee investment program""
}"
35,Hired," {
  ""Core Responsibilities"": ""Develop and maintain client-side and server-side applications. Work with other developers and teams to ensure applications have the right features and functionality. Write tests to ensure software remains functional."",
  ""Required Skills"": ""Proficiency in HTML, CSS, JavaScript, ASP.NET, SQL. Experience with front-end and back-end programming languages like JavaScript, Ruby, Java, Go, Swift. Database skills including NoSQL and Node.js. Understanding of HTTP protocols, SSL, web architecture. Experience with Git version control."",
  ""Educational Requirements"": ""N/A"", 
  ""Experience Level"": ""N/A"",
  ""Preferred Qualifications"": ""Strong communication skills. Ability to work in teams. Business mindset and desire to continuously improve."",
  ""Compensation and Benefits"": ""N/A""
}"
36,Blockchains," {
  ""Core Responsibilities"": ""Defining and implementing new RESTful APIs and JSON schemas, code reviews and discussions on design patterns, working extensively with various JavaScript frameworks, supporting integration efforts with mobile and web portal development teams, contributing to design discussions and backlog grooming, testing and debugging integration issues, supporting release activities such as CI/CD pipelines and reviewing security scan results"",
  ""Required Skills"": ""Agile mindset, passion for writing clean, high-quality code, experience designing, implementing and integrating production-ready web services, able to contribute to design activities and code reviews, familiarity with test automation frameworks and debugging, knowledge of Docker, YAML, JSON, TypeScript or similar JS frameworks, foundational cryptography and blockchain knowledge"",
  ""Educational Requirements"": ""Bachelor's degree or higher in computer science or STEM with strong CS background"", 
  ""Experience Level"": ""Minimum 5 years as a software developer designing and implementing web services, minimum 3 years hands-on with JavaScript and TypeScript or similar, at least 3 years working on large enterprise distributed systems"",
  ""Preferred Qualifications"": ""Experience with cross-functional agile teams developing enterprise software including API design, writing tests, design docs and deploying to production"",
  ""Compensation and Benefits"": ""N/A""
}"
37,"Vitalwerks Internet Solutions, LLC"," {
  ""Core Responsibilities"": ""Develop and deploy new features, procedures and tools. Troubleshoot, test and maintain the core product software and databases. Provide technical leadership to the team."",
  ""Required Skills"": ""5+ years of PHP development experience with modern PHP practices, frameworks and deployment. Proficient with Git, Linux, SSH, the command line and agile methodologies. BS degree in computer science, engineering or related subject."",  
  ""Educational Requirements"": ""BS degree in computer science, engineering or related subject"",
  ""Experience Level"": ""5+ years"",
  ""Preferred Qualifications"": ""Experience with dynamic DNS, VueJS, Laravel, responsive frontend frameworks like Bootstrap/Foundation, scaling technologies like containerization/microservices, nonSQL databases like columnar stores/graph databases. MS degree in computer science, engineering or related subject."",
  ""Compensation and Benefits"": ""N/A""
}"
38,Germer International," {
  ""Core Responsibilities"": ""The warehouse manager is responsible for the coordination of all warehousing activities as well as directly managing the flow of inventory into and out of the warehouse. They will provide direct leadership to all warehouse team members and must effectively collaborate with manufacturing, quality, planning and finance in order to meet business objectives."",
  ""Required Skills"": ""High school education or equivalent, minimum five years experience performing warehousing or logistical related activities in a CGMP pharmaceutical manufacturing environment, must have formal leadership experience including direct management of employee related activities, thorough knowledge of hazardous material and transportation regulations and applicable regulatory requirements (FDA, IATA, DOT, Customs and OSHA), in-depth understanding of warehousing operations, logistics, inventory management and inventory control principals, working knowledge of quality system processes (CAPA, change controls), hands-on experience with SAP or similar ERP, demonstrated ability to influence and successfully coach team members, experience developing procedures and other controlled documents, must be highly organized and process oriented, ability to operate warehouse equipment such as forklifts and pallet jacks if needed, strong interpersonal communication and time management skills, thorough understanding of software technologies used in typical warehousing or logistical operation including Microsoft Office applications"",
  ""Educational Requirements"": ""High school education or equivalent, additional coursework in logistics, business administration or supply chain principals preferred"", 
  ""Experience Level"": ""Minimum five years experience performing warehousing or logistical related activities in a CGMP pharmaceutical manufacturing environment"",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""N/A""
}"
39,The Coca Cola Company," {
  ""Core Responsibilities"": ""Lead and direct the daily activities of warehouse teammates to ensure the safe and successful completion of all related daily warehouse activities and operations. Verify and ensure all applicable warehouse processes are followed."",
  ""Required Skills"": ""Ability to lead and motivate a team. Knowledge of warehouse operations and processes."", 
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""N/A"",
  ""Preferred Qualifications"": ""Experience leading teams in a warehouse environment. Knowledge of safety procedures."",
  ""Compensation and Benefits"": ""N/A""
}"
